title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros
Maserati Ghibli 2019,59000.0,"MASERATI GHIBLI VERSIÓN LUXURY 3.0 BT SOFT V6 2WD 350 HP SALPICADERO PARTE ALTA CUERO, ASIENTOS DELANTEROS AJUSTABLES CALEFACTABLES ELÉCTRICAMENTE, CIERRE ELÉCTRICO DEL MALETERO CON SENSOR PIE,CÁMARA TRASERA PARA APARCAMIENTO CON REJILLAS DINÁMICAS, Ver más",2018,19760.0,Automática - Secuencial,Gasolina,3000.0,,Sedan,Maserati,GHIBLI,4,4x2,Azul,6
Toyota Rush 2019,20200.0,- Kilometraje 55954 - Año de fabricación 2019 - Año de modelo 2020 - Boton de encendido - Apertura de puerta a distancia por sensor - 2 llaves - Asientos en tela - 3 filas de asientos - Caja Automatica - Motor 1.5 mpi - Camara de retroceso + sensores...Ver más,2019,55954.0,Automática - Secuencial,Gasolina,1500.0,,Camionetas Suv,Toyota,RUSH,5,4x2,Plata,4
Chevrolet Tracker 2022,18990.0,GRUPO ALESE SEMINUEVOS PONE A LA VENTA -CHEVROLET TRACKER 1.2TURBO LTZ MT III: Kilometraje 2562 - Año de fabricación 2022 - Año de modelo 2022 - Boton de encendido - Apertura de puerta a distancia por sensor - 2 llaves - Asientos en tela y cuero - Ca...Ver más,2022,2562.0,Mecánica,Gasolina,1200.0,,Camionetas Suv,Chevrolet,TRACKER,5,4x2,Rojo,4
Maserati Levante 2020,115000.0,"Levante VERSIÓN LUXURY,2020 , 3.0 BT V6 4WD 430 HP ,SENSORES DE APARCAMIENTO DELANTEROS Y TRASEROS, FUNCIÓN DETECCIÓN ÁNGULO CIEGO, CON SENSORES EN
PARAGOLPES TRASERO,FIBRA DE CARBONO 3D, COLUMNA DE DIRECCIÓN CON AJUSTE ELÉCTRICO, SISTEMA DE CIERRE Ver más",2020,3700.0,Automática - Secuencial,Gasolina,3000.0,,Camionetas Suv,Maserati,LEVANTE,4,4x4,Gris platino,6
Chevrolet Tracker 2017,14200.0,CHEVROLET TRACKER1.8 LS MT 2WD - 30539Kilometros - controles de audio en timon - bolsas de aire - radio - motor 1.8 - 4x2 - elevalunas eléctricos - asientos en tela y cuero - caja mecanica 5ta + retro - aire acondicionado - ubicado en san isidro,2016,30539.0,Mecánica,Gasolina,1800.0,,Camionetas Suv,Chevrolet,TRACKER,5,4x2,Blanco,4
Chevrolet Tracker 2020,19000.0,"CAMIONETA COMO NUEVA, SOLO2500 KILOMETROS DE RECORRIDO, VERSION LT, FULL EQUIPO,4X4, ASIENTOS DE CUERO, SUNROOF, AUTOMATICA, FAROS LED, NEBLINEROS, ARO 18, A/C, ESPEJOS LUNAS Y PESTILLOS ELETCRICOS, TIENE CONVERSION A GLP. DOCUMENTOS LISTOS PARA TRAN...Ver más",2020,2500.0,Automática,Gas GLP,1800.0,,Camionetas Suv,Chevrolet,TRACKER,4,4x4,Rojo Oscuro,4
Maserati Levante Gts 2020,169000.0,"Maserati levante TROFEO 2020, 3.8 BT V8, 4WD, 590 HP, Automatica, sensores delanteros y posteriores, funcion de deteccion de angulo ciego, aire acondicionado dual, cámara de retroceso, espejos retrovisores eléctricos, control de crucero, asientos del...Ver más",2020,6600.0,Automática - Secuencial,Gasolina,3800.0,,Camionetas Suv,Maserati,Levante GTS,4,4WD,Gris Metálico,8
Chevrolet Spin Active 2018,12990.0,"CHEVROLET SPIN 2018, VERSION ACTIVE, SOLO 33 MIL KM DE RECORRIDO, MOTOR 1.8 , A/C , AIRBAGS, 2 FILAS DE ASIENTOS, LISTO PARA TRANSFERENCIA Y ENTREGA INMEDIATA. ",2018,33000.0,Mecánica,Gasolina,1800.0,,Vans,Chevrolet,SPIN ACTIVE,4,4x2,Gris huracan,4
Mercedes Benz Gla 180 2020,31000.0,"Mercedes Benz GLA 180 sport Año modelo 2020 ,motor 1600, transmisión automática secuencial de 7 velocidades con paddle shift , tracción 4x2 , sistema de ahorro de combustible star / stop , 4 modos de manejo , control de velocidad crucero , timón mult...Ver más",2020,11000.0,Automática - Secuencial,Gasolina,1600.0,,Camionetas Suv,Mercedes Benz,GLA 180,4,4x2,Blanco,4
Chevrolet Tracker 2016,13790.0,"- Kilometraje 40853 - Año de fabricación 2016 - Año de modelo 2016 - Asientos en tela - 2 filas de asientos
- Caja mecanica - Motor 1.8 - Aire acondicionado - Controles de audio en el timon - Doble Airbag Frontal - Camioneta lista para transferencia...Ver más",2016,40853.0,Mecánica,Gasolina,1800.0,,Camionetas Suv,Chevrolet,TRACKER,5,4x2,Rojo,4
Chevrolet Traverse 2021,40000.0,"CHEVROLET TRAVERSE 2021, 3.6 V6 LT AWD. COMO NUEVA, SERVICIOS EN CONCESIONARIO, GARANTIA DE FABRICA, SOLO 18 MIL KM RECORRIDOS. 4X4 , TRANSFERENCIA INMEDIATA, FACTURABLE.",2021,16000.0,Automática - Secuencial,Gasolina,3600.0,,Camionetas Suv,Chevrolet,TRAVERSE,4,4x4,Gris Oscuro,6
Maserati Quattroporte 2020,95000.0,"QUATTROPORTE M156 VERSION LUXURY . MOTOR 3.0 BT V6 2WD 430 HP. SOLO 6 MIL KM RECORRIDOS. EN EXCELENTE ESTADO, SERVICIO EN CONCESIONARIO.",2020,6600.0,Automática - Secuencial,Gasolina,3000.0,,Sedan,Maserati,QUATTROPORTE,4,4x2,Gris Metálico,6
Suzuki Jimny 2022,20490.0,- Kilometraje 6900 - Año de fabricación 2022 - Año de modelo 2022 - Asientos en tela - 2 filas de asientos - Caja automatica 4x4 sistema AllGrip Pro - Motor 1.5 - Aire acondicionado - Pantalla con sistema Apple CarPlay y Android Auto - Camara de retr...Ver más,2022,6927.0,Automática - Secuencial,Gasolina,1500.0,,Camionetas Suv,Suzuki,JIMNY,3,4x4,Azul,4
Chevrolet Captiva 2022,22900.0,"CHEVROLET CAPTIVA PREMIER 2022, 3 FILAS DE ASIENTOS, FULL EQUIPO, MECANICA, SUNROOF , MOTOR 1.5 ,MINIMO KILOMETRAJE, ESTE VEHICULO SOLO FUE ACTIVADO EN TIENDA PARA EXHIBICION, MANTIENE GARANTIA DE FABRICA Y ESTA PARA TRANSFERENCIA Y ENTREGA INMEDIATA...Ver más",2022,300.0,Mecánica,Gasolina,1500.0,,Camionetas Suv,Chevrolet,CAPTIVA,4,4x2,Gris Metálico,4
Maserati Quattroporte 2019,85000.0,"Quattroporte M156 VERSIÓN LUXURY, AÑO MODELO 2019, MOTOR 3.0 BT V6 2WD 430 HP, SISTEMA DE CIERRE SUAVE - CIERRE DE PUERTAS ELECTRICO AUTOMÁTICO CENTRALIZADO,Cortina Eléctrica Trasera, CIERRE ELÉCTRICO DEL MALETERO CON SENSOR PIE, Cruise Control Adapt...Ver más",2019,17200.0,Automática - Secuencial,Gasolina,3000.0,,Sedan,Maserati,QUATTROPORTE,4,4x2,Gris huracan,6
Kia Sportage 2020,25200.0,"KIA SPORTAGE GT LINE 2020, AUTOMATICA, MOTOR 2.0, 60 MIL KM DE RECORRIDO, MODOS DE MANEJO, TECHO PANORAMICO, LUNAS POLARIZADAS AROS DE ALEACION 19 PULGADAS, LLANTAS EN BUEN ESTADO, PANTALLA TACTIL , CAMARA DE RETRO, NEBLINEROS, FULL EQUIPO. LISTO PAR...Ver más",2020,60000.0,Automática - Secuencial,Gas GLP,2000.0,,Camionetas Suv,Kia,SPORTAGE,4,4x2,Plata,4
Chevrolet Tracker 2022,18900.0,"CHEVROLET TRACKER 2022 NUEVA, SOLO ACTIVADA PARA EXHIBICION EN TIENDA, VERSION LTZ, MOTOR 1.2 TURBO, FULL EQUIPO, MECANICA, SOLO 180 KILOMETROS RECORRIDOS.
CUENTA CON GARANTIA DE FABRICA Y ES FACTURABLE.
ENTREGA INMEDIATA.",2022,180.0,Mecánica,Gasolina,1200.0,,Camionetas Suv,Chevrolet,TRACKER,4,4x2,Gris huracan,4
Chevrolet Captiva 2020,18800.0,- Asientos en cuero - 2 filas de asientos- Caja Secuencial - Motor 1.5 turbo - Aros de aleación - Camara de retroceso - Sensores de retroceso - Aire acondicionado - Encendido de botón - Camioneta de 2 filas de asientos - sunroof - año de fabricacion Ver más,2019,5316.0,Automática - Secuencial,Gasolina,1451.0,,Camionetas Suv,Chevrolet,CAPTIVA,5,4x2,Blanco,4
Mazda Cx-5 2022,32490.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; MAZDA CX5 2.0 AT CORE FAB 2021 MOD 2022 * FRENOS ABS * AIRE ACONDICIONADO * AROS DE ALEACIÓN * FAROS NEBLINEROS * 6 AIRBAGS * ENTREGA INMEDIATA. OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA Ver más,2021,15888.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Mazda,CX-5,5,4x2,Gris Metálico,4
Suzuki Ertiga 2020,16990.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2020,56763.0,Automática,Gasolina,1498.0,Par,Vans,Suzuki,ERTIGA,4,4x2,Guinda,4
Mercedes Benz C-180 2018,26900.0,"Av. Javier Este 5550, La Molina

Automotores Gildemeister en su división de Seminuevos Premium ofrece esta unidad . Adquiere este vehículo con toda la seguridad y el respaldo que te brinda el Grupo Gildemeister en nuestra tienda ubicada en Av. Javier...Ver más",2017,13300.0,Automática,Gasolina,2000.0,Impar,Sedan,Mercedes Benz,C-180,4,,Azul,4
Toyota Rush 2022,23000.0,"TOYOTA RUSH full equipo, automatico, encendido engine star, cilindrada 1.496, cuenta con 7 asientos, 3 filas de aientos, la ultima fila es rebatible, brindando mucha capacidad de carga, vehiculo en excelente estado, año de farbicacion 2021, modelo 20...Ver más",2021,16000.0,Automática,Gasolina,1496.0,Par,Camionetas Suv,Toyota,RUSH,5,,,
Kia Sportage 2014,14990.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2013,85838.0,Automática,Gasolina,1998.0,Impar,Camionetas Suv,Kia,SPORTAGE,4,4x2,Plata,4
Ford Explorer 2020,49000.0, VERSION LÍMITED PRECIO NEGOCIABLE/vehículo Impecable y conservado UNICO DUEÑO - TRATAMIENTO CERAMICO Y LUNAS POLARIZADAS Motor a gasolina (EcoBoost) 2.3 litros TURBO de 4 cilindros con potencia de 300 HP / 5.000 RPM y 420 NM de Torque - Transmisión Ver más,2020,34000.0,Automática - Secuencial,Gasolina,2300.0,Par,Camionetas Suv,Ford,EXPLORER,,4x4,,
Haval H6 2019,19000.0,"Vehículo en excelente estado, documentos en regla. Disponible en Av. Evitamiento 1700, Ate. Cuenta con cámara de retroceso.",2019,39986.0,Automática,Gasolina,2000.0,Impar,Camionetas Suv,Haval,H6,,4x2,Blanco,
Changan Cx70 2019,14000.0,"SUV EN BUENAS CONDICIONES, TRANSMISIÓN MECÁNICA, MOTOR 1,600, SENSORES DE ESTACIONAMIENTO, FAROS NEBLINEROS, DOCUMENTOS EN REGLA. DISPONIBILIDAD INMEDIATA EN LA AV. VÍA EVITAMIENTO 1700 ATE.",2018,47832.0,Mecánica,Gasolina,1600.0,Impar,Camionetas Suv,Changan,CX70,5,4x2,Gris platino,
Hyundai I30 2014,14490.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2014,68233.0,Automática,Gasolina,1797.0,Impar,Hatchback,Hyundai,i30,4,Delantera,Blanco,4
Kia Rio 2019,15900.0,"Kia Rio Hatchback Sport
Automático
Año 2019
21,000 km
Motor 1.4 
Lunas polarizadas
Única dueña",2018,21000.0,Automática - Secuencial,Gasolina,1368.0,Par,Hatchback,Kia,RIO,5,4x2,Gris platino,4
Mazda 3 Sport 2018,16400.0,"MAZDA 3 SPORT HB 2.0 ++ AUTOMÁTICO ++ FULL EQUIPO ++ SUNROOF ELECTRICO ++ KMS: 55,600 ++ MANT. RECIÉN REALIZADO ++ MUYBIEN CONSERVADO ++ CAMARA DE RETROCESO ++ SENSOR DE LLUVIA ++ 02 LLAVES INTELIGENTES ORIGINALES ++ AROS, TAMBORES, PARRILLA Y EMBLEM...Ver más",2017,55600.0,Automática - Secuencial,Gasolina,2000.0,Impar,Hatchback,Mazda,3 SPORT,5,4x2,Negro,4
Toyota 4runner 2017,43000.0,"CAMIONETA EN EXCELENTE ESTADO, UNICO DUEÑO, FULL EQUIPO, LUNAS Y PESTILLOS ELECTRONICO.",2017,50146.0,Automática - Secuencial,Gasolina,3956.0,Impar,Camionetas Suv,Toyota,4RUNNER,5,4x4,Gris Oscuro,6
Nissan Sentra 2016,13490.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2015,59000.0,Automática,Gasolina,1798.0,Impar,Sedan,Nissan,SENTRA,4,Delantera,Gris Metálico,4
Bmw 418i 2021,34000.0,"BMW 418i GRAN COUPE 2020 FULL EQUIPO
 Automàtico secuencial
Full equipo, Sunroof . 
Transmisión automática Steptronic de 8 velocidades
(04) modos de manejo, eco, confort, Sport, Super Sport.
Lunas eléctricas polarizadas, Sensores de parqueo post...Ver más",2020,18600.0,Automática - Secuencial,Gasolina,1500.0,Impar,Sedan,Bmw,418i,4,Delantera,Blanco nieve,4
Jeep Grand Cherokee Laredo 2014,26900.0,"Único dueño, prácticamente nuevo, historial mantenimiento en Divemotor verlo en San Isidro.",2014,26929.0,Automática,Gasolina,3600.0,Par,Camionetas Suv,Jeep,GRAND CHEROKEE LAREDO,5,4x2,Blanco,6
Toyota Yaris 2017,11500.0,"AUTOESPAR te ofrece el automóvil seminuevo TOYOTA YARIS AÑO 2017 con toda la seguridad y el respaldo que nos caracteriza. Para mayor información sobre las especificaciones, envíanos un mensaje desde esta plataforma para contactarnos contigo. #SomosAu...Ver más",2017,25107.0,Mecánica,Gasolina,1300.0,Par,Sedan,Toyota,YARIS,4,4x2,Gris Oscuro,4
Subaru Legacy 2015,16900.0,"Subaru Legacy 2.5 motor bóxer tracción AWD 2015 full equipo 54 mil de kilometraje, mantenimientos al dia hasta los 56mil kilómetros, caja automática secuencial con paddle shift, modo de manejo Intelligent y Sport, sistema multimedia de 10” con Apple Ver más",2015,54000.0,Automática - Secuencial,Gasolina,2500.0,Impar,Sedan,Subaru,LEGACY,5,AWD,Gris Oscuro,4
Kia Sorento 2016,22990.0,"KIA SORENTO 2016, KM 44,500, GASOLINA, TRES FILAS, SUNROOF,CAMARARETROCESO // LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMITES NOTARIALES SON COMPLETAMENTE G...Ver más",2015,44500.0,Automática - Secuencial,Gasolina,2398.0,Par,Camionetas Suv,Kia,SORENTO,5,4x2,Gris Metálico,4
Mg Hs 2022,25990.0,"MG HS TROPHY 2022, KM 6800, GARANTÍA VIGENTE, GASOLINA, CUERO, ASIENTOS ELECTRICOS, SUNROOF //LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMITES NOTARIALES SON...Ver más",2022,6800.0,Automática - Secuencial,Gasolina,1995.0,Impar,Camionetas Suv,Mg,HS,5,4x2,Rojo,4
Mg Mg Zx 2022,21990.0,"MG ZX PLUS TROPHY 2022, KM 4200, GARANTÍA VIGENTE, GASOLINA, CAMARA 360°, CUERO, ASIENTOS ELECTRICOS, SUNROOF //LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMI...Ver más",2022,4300.0,Automática - Secuencial,Gasolina,1349.0,Impar,Camionetas Suv,Mg,MG ZX,5,4x2,Blanco,4
Hyundai Elantra 1997,5950.0,"AUTO EN EXCELENTE ESTADO, TOTALMENTE REPARADO Y BUEN MANTENIMIENTO, VENTA POR VIAJE, INFORMES AL WHATSUP [****]",1997,160000.0,Mecánica,Gasolina,1800.0,Par,Sedan,Hyundai,ELANTRA,5,Posterior,Verde,4
Geely Gx3 2021,12500.0,"Av. La Marina 3397 – San Miguel (Ref. cruce con Faucett).

Automotores Gildemeister en su división de Seminuevos ofrece esta unidad . Adquiere este vehículo con toda la seguridad y el respaldo que te brinda el Grupo Gildemeister en nuestra tienda u...Ver más",2021,60934.0,Mecánica,Gas GLP,1500.0,Par,Camionetas Suv,Geely,GX3,5,,Blanco,4
